English;Lietuviškai
A big hoopla about nothing;Priskaldyti vežimą malkų iš degtuko
Peeing a little bit;Truputi nusimyžti
Ghosts;Vaiduokliai
Bananas in Pajamas;Bananai su Pižamom
Active listening;Aktyvus klausymasis
Dry heaving;Rėmuo
Kamikaze pilots;Kamikadzės
Anal beads;Analiniai rutuliukai
The Make-A-Wish Foundation;Bėdų turgus
PCP; Amfetaminas; Narkotikas populiarus JAV
;Petras Gražulis šaukiantis "Už Lietuvą, vyrai!"
;Andrius Užkalnis
;Algimantas Čekuolis
;Tėčio kreditinė kortelė
;Amputacija karo lauko ligoninės sąlygomis
;Vakarietiški grožio standartai
;Kalėdų senelis
;Prasti gyvenimo pasirinkimai
;Mano pirmasis nužudymas
